filename,name,year,text,match_string,page,start,end,class,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"The total number of employees of the Company at 31 December 2019 was 1,729 (2018 1,509). All of the Company s employees work within the Group s HQ segment.",total number of employees,233,1,5,1,
BAE_Systems_Annual_Report_2019.pdf,BAE Systems,2019,"Total staff costs, excluding charges for share-based payments, were as follows:",Total staff,233,0,2,0,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,"The health, safety and wellbeing of our people is of the highest importance to Berkeley. Our latest 12 month rolling Accident Injury Incidence Rate (AIIR) is 1.14 reportable incidents for every 1,000 people working on our sites and in our offices (2018: 1.42). We are strengthening our focus on wellbeing, and in particular are developing and implementing a strategy for mental health, with 80 Mental Health First Aiders having been trained in the year.","1,000 people working",24,35,38,0,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,"Total employees 1,025 1,639 2,664",Total employees,53,0,2,1,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,Fees were increased by 3%. The average employee rise in salaries was 4.4%.,average employee,104,8,10,0,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,The average employee rise in salaries was 4.1%.,average employee,104,1,3,0,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,This is measured as the ratio of the Chief Executive single figure remuneration in the year to the average employee remuneration for all staff and Directors below the Main Board. This ratio is intended to provide a early indication of our relative internal positioning. In next year's Directors Remuneration Report we will provide Chief Executive ratios in accordance with the requirements under the new reporting regulations.,average employee,107,18,20,0,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,"The average monthly number of persons employed by the Group during the year was 2,673 (2018: 2,617).",average monthly number of persons,136,1,6,1,
Berkeley_Group_Annual_Report_2019.pdf,Berkeley Group,2019,"The average monthly number of persons employed by the Company during the year was 10, all of whom are Directors (2018: 10).",average monthly number of persons,170,1,6,1,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"Diversity leader in the Financial Times Diversity Leaders report BAT was ranked in the top 10% of the total of 8,000 organisations covered by this inaugural report. It was compiled from extensive research, with 80,000 people surveyed across 10 European countries.","with 80,000 people",37,36,39,0,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"Our Strategic Report discusses our Diversity & Inclusion strategy and Group diversity initiatives further, and provides details of the representation of women in our total workforce and in our senior manager population on pages 40 and 41.",total workforce,85,25,27,0,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"Notes: 1. Total remuneration of Group employees: this represents the total employee benefit costs for the Group, set out on page 140 within note 3(a) in the Notes on the Accounts.",total employee,115,13,15,0,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"25 Group employees The average number of persons employed by the Group and its associates during the year, including Directors, was 94,846 (2018: 95,239).",average number of persons,193,4,8,1,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"Details of the Director s remuneration, share options and retirement benefits are given in the Remuneration Report in the Group Annual Report and Accounts. Details of key management compensation are included in note 26 of the Group financial statements. The Company had two employees at 31 December 2019 (2018: two). These two employees are Jack Bowles and Tadeu Marroco. The details of their remuneration are shown on page 98 of the Group s Annual Report and Accounts for the year ended 31 December 2019. The costs of these employees are borne by another Group company.",had two employees,255,44,47,0,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,<TABLE 250 CONTENTS(US APME AmSSA ENA1 Total employees) ENDTABLE>,Total employees,275,7,9,1,
British_American_Tobacco_Annual_Report_2019.pdf,British American Tobacco,2019,"We believe in Diversity. At BAT we employ over 55,000 people and operate across more than 180 markets globally.","employ over 55,000 people",334,8,12,1,
British_Land_Annual_Report_2019.pdf,British Land,2019,"The average monthly number of employees of the Company during the year was 293 (2017/18: 265). The average monthly number of Group employees, including those employed directly at the Group s properties and their costs recharged to tenants, was 783 (2017/18: 835). The average monthly number of employees of the Company within each category of persons employed was as follows: Retail: 31; Offices: 20; Canada Water: 14; Developments: 32; Storey: 8; Support Functions: 188.",average monthly number of employees,138,1,6,1,
BT_Group_Annual_Report_2019.pdf,BT Group,2019,<TABLE 135 CONTENTS(Number of employees in the groupa Year end Average Year end Average Year end Average UK Non-UK Total employees) ENDTABLE>,Total employees,128,22,24,1,
BT_Group_Annual_Report_2019.pdf,BT Group,2019,<TABLE 136 CONTENTS(Number of employees in the groupa Year end Average Year end Average Year end Average Consumer Enterpriseb Global Services Openreachb Other Total employees) ENDTABLE>,Total employees,128,24,26,1,
CRH_Annual_Report_2019.pdf,CRH,2019,"We had zero employee or contractor fatalities to report in 2019. This was the first year since 2015 that there were zero employee fatalities, and the first year since 2004 that there were zero contractor fatalities. However, we deeply regret that one third-party fatality occurred in 2019. We extend our sincere sympathies to their family. We independently investigate all fatalities and share the lessons learned as we focus on our zero fatality target",had zero employee,13,2,5,0,
CRH_Annual_Report_2019.pdf,CRH,2019,"With 80,300 employees in 30 countries, CRH is a multinational and multicultural organisation. Our ambition is to be the employer of choice in our industry, recognising that people are critical to sustaining competitive advantage and long-term success.","With 80,300 employees",13,0,3,1,
DCC_Annual_Report_2019.pdf,DCC,2019,"2.4 Employment This section provides an analysis of the average number of employees in the Group by segment together with their related payroll expense for the year. Further information on the compensation of key management personnel is included in note 5.6, Related Party Transactions.",average number of employees,150,9,13,0,
DCC_Annual_Report_2019.pdf,DCC,2019,"The average number of persons (including executive Directors) employed by the Group in continuing and discontinued operations during the year, analysed by class of business, was:",average number of persons,150,1,5,1,
DS_Smith_Annual_Report_2019.pdf,DS Smith,2019,Average number of employees,Average number of employees,63,0,4,1,
DS_Smith_Annual_Report_2019.pdf,DS Smith,2019,<TABLE 106 CONTENTS(Western Europe DCH and Northern Europe Central Europe and Italy USA Rest of the World Average number of employees) ENDTABLE>,Average number of employees,63,18,22,1,
Glencore_Annual_Report_2019.pdf,Glencore,2019,"As a global resources business, we recognise that robust, respectful and two-way relationships with stakeholders are essential for our social licence to operate. We operate assets in 35 countries and have around 160,000 colleagues (including contractors). Engaging and responding to all of our stakeholder groups, regardless of their location or opinion, is fundamental to how we operate. Stakeholder scrutiny supports the maintenance of the high standards of business conduct that is vital to our corporate culture and the long-term success of the Group.","have around 160,000 colleagues",30,35,39,1,
Hargreaves_Lansdown_Annual_Report_2019.pdf,Hargreaves Lansdown,2019,<TABLE 120 CONTENTS(Board of directors Other senior Total employees Female) ENDTABLE>,Total employees,45,8,10,1,
HSBC_Holdings_Annual_Report_2019.pdf,HSBC Holdings,2019,"We have a total workforce equivalent to 235,000 full-time employees, working across 64 countries and territories. We are working to create the right environment to help enable everyone to fulfil their potential.",total workforce,20,3,5,1,
IHG_Hotels&Resorts_Annual_Report_2019.pdf,IHG Hotels&Resorts,2019,"Employees and Code of Conduct Having a predominantly franchised and managed business model means that not all of those people who work at hotels operated under our brands are our employees. When the Group s entire estate is taken into account (including those working in our franchised and managed hotels), over 400,000 people worked globally across IHG s brands as at 31 December 2019.","400,000 people worked",224,55,58,1,
Imperial_Brands_Annual_Report_2019.pdf,Imperial Brands,2019,"We employ around 32,700 people from different backgrounds and cultures, including 13,559 women, representing 42 per cent of our total workforce.","employ around 32,700 people",24,1,5,1,
Informa_Annual_Report_2019.pdf,Informa,2019,"9. Staff numbers and costs The monthly average number of persons employed by the Group (including Directors) during the year, analysed by segment, was as follows:",average number of persons,184,8,12,1,
ITV_Annual_Report_2019.pdf,ITV,2019,"The three employees used in the calculations above are considered to be reasonably representative of the 25th, 50th and 75th percentiles of Company remuneration in the relevant nancial year. They received the employee bonus award, were members of the ITV DC Pension Plan and did not participate in a long-term incentive plan.",The three employees,140,0,3,0,
ITV_Annual_Report_2019.pdf,ITV,2019,1. Employee pay is the total remuneration paid to all employees across ITV on a full-time equivalent basis. More detail is set out on page 172. 2. Employee headcount is the monthly average number of employees across ITV on a full-time equivalent basis. More detail is set out on page 172.,average number of employees,144,38,42,1,
ITV_Annual_Report_2019.pdf,ITV,2019,Total staff costs 491 473,Total staff,173,0,2,0,
JD_Sports_Annual_Report_2019.pdf,JD Sports,2019,"The average number of persons employed by the Group (including Directors) during the period, analysed by category, was as follows:",average number of persons,135,1,5,1,
JD_Sports_Annual_Report_2019.pdf,JD Sports,2019,"The average number of persons employed by the Company (including Directors) during the period, analysed by category, was as follows:",average number of persons,178,1,5,1,
JD_Sports_Annual_Report_2019.pdf,JD Sports,2019,"Masters Degrees and MBAs Within our Multichannel department we currently offer a Masters Degree in Multichannel Retailing via Manchester Metropolitan University. The degree is a course which has been adapted specifically for JD from courses currently offered within the university. This is a two or three year qualification with a dissertation linked to current JD departmental objectives. We currently have 20 team members studying for this qualification. We also offer an Apprenticeship MBA programme, partnering with Bolton University.",have 20 team,63,62,65,0,
Johnson_Matthey_Annual_Report_2019.pdf,Johnson Matthey,2019,Average number of employees,Average number of employees,191,1,5,1,
Johnson_Matthey_Annual_Report_2019.pdf,Johnson Matthey,2019,"Average number of employees 12,988 12,319",Average number of employees,191,0,4,1,
Johnson_Matthey_Annual_Report_2019.pdf,Johnson Matthey,2019,Actual employees Agency staff Total headcount,Total headcount,191,4,6,1,
Johnson_Matthey_Annual_Report_2019.pdf,Johnson Matthey,2019,Actual employees Agency staff Total headcount,Total headcount,191,4,6,1,
Land_Securities_Annual_Report_2019.pdf,Land Securities,2019,The average monthly number of employees during the year was:,average monthly number of employees,143,1,6,1,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"The Group has hired over 1,200 colleagues in 2019 across critical areas such as engineering, data science and cyber security, in line with our plan to treble strategic hiring compared to 2018 and enabling the Group to reduce the use of external resource","hired over 1,200 colleagues",8,4,8,0,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"In addition to up-skilling our colleagues, we are also using targeted recruitment to introduce new skills into the organisation across areas that will support the new strategic competencies of the Group going forward. We have also hired over 1,200 colleagues across critical areas such as engineering, data science and cyber security. The integration of skills such as these into our colleague base positions us well to continue transforming the Group for success in a digital world, with other benefits including a reduced reliance on third- party providers.","hired over 1,200 colleagues",21,40,44,0,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"Changing the way we work Consistent with our aim to embrace new ways of working, we have continued to make things easier than ever before for our colleagues to work in a more collaborative manner. 96 per cent of our colleagues are now based in one of our six strategic hub locations. We continue to invest in improving the working environment with 34,000 colleagues benefiting from refreshed workplaces in 2019. Our ongoing changes to working environments are helping create a hub of agile working, focusing on collaborative activity-based spaces which foster innovation and make it easier for our colleagues to focus on delivering better experiences for our customers. Moreover, by creating an environment where colleagues can collaborate more easily regardless of location, this will help us as an organisation significantly reduce our carbon footprint. The combination of these factors is resulting in a cultural shift across the Group, with over 33 per cent of change now delivered using Agile methodologies and we continue to expect this number to surpass 50 per cent by the end of 2020.","with 34,000 colleagues",21,64,67,0,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"The Group has around 65,000 colleagues, who take pride in working for an inclusive and diverse Group and, with their support, we are building a culture in which everyone feels included, empowered and inspired to do the right thing for customers. Through our strategy we have made our biggest ever investment in colleagues to ensure that we continue to attract, develop and retain these skills and capabilities.","has around 65,000 colleagues",24,2,6,1,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"LiveWest offer affordable rent and shared ownership, building new homes, and using the profits to build more affordable homes. With sites across the South West and employing over 1,400 people, they have a strong positive social impact. Their investment plans will sustain around 7,000 jobs in the building supply chain, protecting livelihoods and offering fresh opportunities.","employing over 1,400 people",34,29,33,1,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"Continued progress in developing colleagues with the skills and capabilities needed for the future, with 210,000 colleague training hours completed in 2019, exceeding the year-end target","with 210,000 colleague",40,16,19,0,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"Total number of employees 63,069 64,927",Total number of employees,65,0,4,1,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,"We are also making improvements to pensions for all the 50,000 colleagues who participate in Defined Contribution (DC) arrangements (the majority of our workforce) to make all members eligible for a maximum employer contribution of 15 per cent, and to increase the employer contribution for our lower paid colleagues by one per cent.","the 50,000 colleagues",100,9,12,0,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,Average headcount,Average headcount,227,0,2,1,
Lloyds_Banking_Group_Annual_Report_2019.pdf,Lloyds Banking Group,2019,The average number of persons on a headcount basis employed by the Group during the year was as follows:,average number of persons,227,1,5,1,
M&G_Annual_Report_2019.pdf,M&G,2019,"As a major employer with almost 6,000 employees in 22 locations around the world, we have our own part to play in managing climate risk. We are committed to reducing our own carbon emissions to net zero by 2030. We will achieve this through a new approach to travel, energy-efficient investment in our buildings and the adoption of new technology.","with almost 6,000 employees",19,4,8,1,
M&G_Annual_Report_2019.pdf,M&G,2019,"We will achieve a significant shift in our cost base through our five-year transformation programme. As part of this programme, we have launched a voluntary redundancy scheme with the aim of reducing total staff costs by 10% in 2020.",total staff,20,36,38,0,
M&G_Annual_Report_2019.pdf,M&G,2019,Chief Executive vs average employee pay increase As M&G plc only listed in October 2019 there is no comparable increase to disclose for either the Chief Executive or the average employee. A full disclosure will be presented in our next Annual Report on Remuneration for 2020. Under the proposed Remuneration Policy the increases for the Executive Directors in an ordinary year are expected to be in line with or lower than the average increases awarded to employees.,average employee,103,3,5,0,
M&G_Annual_Report_2019.pdf,M&G,2019,"Every organisation reports its data at a snapshot date of 5 April 2019, for each UK employing entity where there are more than 250 people. M&G plc has four separate employing entities that meet this criteria. However, as shown below, we have calculated a combined set of figures for M&G plc that we believe provides a more meaningful view of our organisation s gender pay gap. Individual entity reports are available from our website.",employing entity where there are more than 250 people,103,17,26,0,
M&G_Annual_Report_2019.pdf,M&G,2019,7 Staff and employment costs The average number of staff employed by the Group during the year was:,average number of staff,154,6,10,1,
M&G_Annual_Report_2019.pdf,M&G,2019,"Average staff headcount of continuing operations 5,680 6,478",Average staff,154,0,2,1,
M&G_Annual_Report_2019.pdf,M&G,2019,"Average staff headcount of discontinued operations 2,341 6,124",Average staff,154,0,2,1,
M&G_Annual_Report_2019.pdf,M&G,2019,<TABLE 119 CONTENTS(Social security costs Share-based payments Pension costs: Defined benefit schemes Defined contribution schemes Total staff and employment costs) ENDTABLE>,Total staff,154,19,21,0,
M&G_Annual_Report_2019.pdf,M&G,2019,7 Staff and employment costs The average number of staff employed by the Group during the year was:,average number of staff,155,6,10,1,
M&G_Annual_Report_2019.pdf,M&G,2019,"Average staff headcount of continuing operations 5,680 6,478 Average staff headcount of discontinued operations 2,341 6,124",Average staff,155,0,2,1,
M&G_Annual_Report_2019.pdf,M&G,2019,<TABLE 121 CONTENTS(Wages and salaries Social security costs Share-based payments Pension costs: Defined benefit schemes Defined contribution schemes Total staff and employment costs) ENDTABLE>,Total staff,155,22,24,0,
Melrose_Industries_Annual_Report_2019.pdf,Melrose Industries,2019,"Melrose is responsible for ensuring that its workers are safe, and prioritises the safeguarding of their health and wellbeing. The Group employs more than 55,000 people who are largely based in manufacturing facilities across the globe, which requires each business to create and maintain safe and healthy workplaces and operational practices, and a robust culture of health and safety awareness, training and performance.","employs more than 55,000 people",64,23,28,1,
Mondi_Annual_Report_2019.pdf,Mondi,2019,<TABLE 94 CONTENTS(Segment revenue Internal revenue External revenue Underlying EBITDA Depreciation and impairments Amortisation Underlying operating profit/(loss) Special items Operating segment assets Operating segment net assets Trailing 12-month average capital employed Additions to non-current non-financial assets Capital expenditure cash payments Underlying EBITDA margin (%) Return on capital employed (%) Average number of employees (thousands)1) ENDTABLE>,Average number of employees,169,59,63,1,
National_Grid_Annual_Report_2019.pdf,National Grid,2019,A total of 18.1% of our total workforce have declared themselves to be of minority racial or ethnic heritage. We recognise the value a diverse workforce and inclusive culture bring to our business. We have many initiatives to encourage and promote diversity and inclusion.,total workforce,45,7,9,0,
Next_Annual_Report_2019.pdf,Next,2019,Total staff costs were as follows:,Total staff,155,0,2,0,
Next_Annual_Report_2019.pdf,Next,2019,Total staff costs by business sector were made up as follows:,Total staff,155,0,2,0,
Next_Annual_Report_2019.pdf,Next,2019,Average employees Full-time equivalents,Average employees,155,0,2,1,
Next_Annual_Report_2019.pdf,Next,2019,"Fully diluted Earnings Per Share is based on the weighted average number of shares used for the calculation of basic Earnings Per Share, increased by the weighted average total employee share options outstanding during the period. Underlying fully diluted Earnings Per Share is an Alternative Performance Measure (APM) used for the purposes of the Share Matching Plan, described further in Note 24.",total employee,159,29,31,0,
Ocado_Annual_Report_2019.pdf,Ocado,2019,"Ocado continued to develop its own proprietary software and incurred 71.4 million (2018: 54.8 million) of internal development costs in the period on technology, including 13.9 million (2018: 10.6 million) spent on computer hardware and software. We expanded our Technology total headcount to over 1,700 staff at the end of the period (2018: over 1,300 staff) as increased investments were made to support our strategic initiatives. The main areas of investment were replatforming of our technology and the greater use of public and private cloud services, improvements in the efficiency of our routing systems, enhancements to our customer proposition, and support for the Erith CFC and existing partners future CFCs.",total headcount,48,52,54,0,
Ocado_Annual_Report_2019.pdf,Ocado,2019,Total Number of Employees,Total Number of Employees,64,0,4,1,
Ocado_Annual_Report_2019.pdf,Ocado,2019,"<TABLE 116 CONTENTS(Ended Wages and salaries Social security costs Other pension costs Share-based payment expense(1) Total gross employment costs Staff costs capitalised as intangible assets Staff costs capitalised as property, plant and equipment Total employment cost Average monthly number of employees (including Executive Directors) by function Operational staff Support staff) ENDTABLE>",Average monthly number of employees,170,41,46,1,
Ocado_Annual_Report_2019.pdf,Ocado,2019,"Of the total employee share options above, the following options were subject to performance criteria in relation to the average contribution by basket and EBITDA A :",total employee,198,2,4,0,
Pearson_Annual_Report_2019.pdf,Pearson,2019,"Who we are We are the world s learning company, operating in 70 countries around the world, with more than 22,500 employees. We provide content, assessment and digital services to schools, colleges and universities, as well as professional and vocational education to learners to help increase their skills and lifelong employability prospects.","with more than 22,500 employees",2,19,24,1,
Prudential_Annual_Report_2019.pdf,Prudential,2019,"Our tax strategy is published annually and, as well as complying with the mandatory requirements under the UK 2016 Finance Act, includes additional disclosures, including a breakdown of the types and amounts of taxes we pay globally, which includes taxes borne and collected on employee income, for example social security. Furthermore, we disclose the revenues, profits, average employee",average employee,84,65,67,0,
Prudential_Annual_Report_2019.pdf,Prudential,2019,"B2.1 Staff and employment costs The average number of staff employed by the Group, for both continuing and discontinued operations, during the years shown was:",average number of staff,233,6,10,1,
Prudential_Annual_Report_2019.pdf,Prudential,2019,* The Other operations staff numbers include staff from central operations and Africa which are unallocated to a segment. Average staff numbers of the discontinued UK and Europe operations are for the period up to the demerger in October 2019.,Average staff,233,22,24,1,
Rentokil_Initial_Annual_Report_2019.pdf,Rentokil Initial,2019,Average number of people employed by the Group during the year:,Average number of people,138,0,4,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,Our vibrant culture sets us apart from many organisations and is defined by every one of the nearly 600 people who are proud to call themselves Rightmovers. I would like to thank them all for creating a culture which continues to drive such business success.,the nearly 600 people,15,16,20,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,"Rightmove directly employs just under 600 people across the UK, based out of offices in London, Milton Keynes and Newcastle. Rightmove s long-term success depends on the shared talent, skills and values of its employees.",employs just under 600 people,31,2,7,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,"Average headcount This year we were pleased to announce the acquisition of Van Mildert, which resulted in an increase in average headcount.",Average headcount,33,0,2,0,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,"As an internet-based business with fewer than 600 employees, based in three UK office locations, our direct environmental footprint is relatively small. However, we continue to encourage our colleagues to minimise their use of resources, reduce unnecessary travel, paper and energy consumption and recycle materials wherever possible.",with fewer than 600 employees,39,6,11,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,(1) Average number of employees includes Executive Directors and employees of Van Mildert from 1 October to 31 December 2019. (2) Before share-based payments and NI on share-based incentives.,Average number of employees,89,4,8,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,"The average number of persons employed (including executive directors) during the year, analysed by category, was as follows:",average number of persons,120,1,5,1,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,"Emissions have also been calculated using an intensity metric , which will enable the Group to monitor how well we are controlling emissions on an annual basis, independent of fluctuations in the levels of their activity. As Rightmove is a people business, the most suitable metric is Emissions per Employee , based on the average number of employees during the year. The Group s emissions per employee are shown in the table below.",average number of employees,40,61,65,0,
Rightmove_Annual_Report_2019.pdf,Rightmove,2019,(4) Based on 538 (2018: 495) employees taken as the average number of employees,average number of employees,40,15,19,1,
Royal_Dutch_Shell_Annual_Report_2019.pdf,Royal Dutch Shell,2019,"At December 31, 2019, there were 83,000 employees in Shell and an additional 4,000 in certain New Energies and Downstream companies, compared with 81,000 at December 31, 2018, and 83,000 at December 31, 2017. The net increase in 2019 was driven by accelerated growth of the Information Technology hub in Bangalore, increased project activity in Projects & Technology, growth in Lubricants Asia, and growth in Customer Operations in Downstream Global Commercial. These changes were partly offset by reductions in Upstream and Integrated Gas which were driven by portfolio activities and our continued effort to improve operational efficiency and to reduce costs.","there were 83,000 employees",103,6,10,1,
Royal_Dutch_Shell_Annual_Report_2019.pdf,Royal Dutch Shell,2019,"Further statements about employees in this section and data presented in the tables excludes the 4,000 employees in certain New Energies and Downstream companies. Note 26 to the Consolidated Financial Statements on page 237 provides the average number of employees by business segment.","the 4,000 employees",103,14,17,0,
Royal_Dutch_Shell_Annual_Report_2019.pdf,Royal Dutch Shell,2019,"[A] As revised, numbers have been changed from average number to actual number to align with current year definition. These numbers exclude the 4,000 employees in certain New Energies and Downstream companies.","the 4,000 employees",103,26,29,0,
