count,report,year,pay_ratio_sentence_announcing_presence,pay_ratio_in_table,pay_ratio_variable,pay_ratio_page_number_pdf,pay_ratio_present,
73,Experian_Annual_Report_2019.pdf,2019,We intend to publish the CEO pay ratio in next year’s report in line with the timing of the regulatory requirement to do so.,,,,0,
74,BHP_Annual_Report_2019.pdf,2019,The ratio of the total remuneration of the CEO to the median total remuneration of all BHP employees for FY2019 was 31:1,0,31,156,1,
75,Kingfisher_Annual_Report_2019.pdf,2019,"Pay ratio analysis The Committee has decided to early-adopt the CEO pay ratio analysis, and a summary of the data for 2018/19 is included below.",1,97,100,1,
76,Antofagasta_Annual_Report_2019.pdf,2019,,,,,0,not mandatory to report due to low UK employee numbers
77,Royal_Dutch_Shell_Annual_Report_2019.pdf,2019,The ratio of the CEO’s pay to the median UK worker is 87.,0,87,141,1,
78,Auto_Trader_Annual_Report_2019.pdf,2019,"Our median all employee to CEO pay ratio is 42:1, which the Committee considers is within a reasonable range taking into account the structure and nature of our business.",0,42,67,1,
79,DCC_Annual_Report_2019.pdf,2019,Chief Executive Pay Ratio The Chief Executive’s total remuneration for the year ended 31 March 2019 (annualised) is 68 times that of the average Group employee for the same period.,0,68,114,1,
80,Pershing_Square_Holdings_Annual_Report_2019.pdf,2019,,,,,0,
81,IHG_Hotels&Resorts_Annual_Report_2020.pdf,2020,CEO pay ratio,1,43,109,1,
82,Aggreko_Annual_Report_2020.pdf,2020,"Chief Executive Officer’s pay ratio In line with new reporting requirements, the table below discloses the ratios which compare the total remuneration of the CEO to the remuneration of the 25th, 50th and 75th percentile of our UK employees.",1,20,77,1,
83,Ocado_Annual_Report_2020.pdf,2020,"Chief Executive Officer Pay Ratio The tables below set out the total pay of the Group Chief Executive Officer and UK employee population as a whole at median, lower quartile and upper quartile using the methodology applied to the single figure of remuneration at the end of the period.",1,312,163,1,
84,XP_Power_Annual_Report_2020.pdf,2020,"CEO PAY RATIO The table below shows the ratio of the CEO’s total remuneration to that of the lower quartile, median and upper quartile UK employee and for the CEO.",1,31,127,1,
85,Pirelli_Annual_Report_2020.pdf,2020,,,,,0,
86,Kingfisher_Annual_Report_2020.pdf,2020,Pay ratio analysis,1,64,89,1,
87,Standard_Chartered_Annual_Report_2020.pdf,2020,Additional ratios of pay based on salary and salary plus annual incentive,1,31,159,1,
88,Just_Eat_Annual_Report_2020.pdf,2020,"The pay ratio from our CEO relative to the average pay of all employees, employed by Just Eat Takeaway.com, was sixteen to one in 2020 (2019: sixteen to one).",1,16,106,1,
89,Ferguson_Annual_Report_2020.pdf,2020,Group Chief Executive pay ratio The table below reports the pay ratio for 2019/20 as required under the Companies (Miscellaneous Reporting) Regulations 2018 which require us to provide this ratio against our UK workforce.,1,168,98,1,
90,Entain_Annual_Report_2020.pdf,2020,"CEO Pay Ratio (Unaudited) The first table below sets out the ratio at median, 25th and 75th percentile of the total remuneration received by our CEOs compared to the total remuneration received by our UK colleagues, while the second provides further information on the total colleague pay figure used for each quartile, and the salary component within this.",1,95,111,1,
91,HSBC_Holdings_Annual_Report_2020.pdf,2020,"Pay ratio The following table shows the ratio between the total pay of the Group Chief Executive and the lower quartile, median and upper quartile pay of our UK employees.",1,85,249,1,
92,EDF_Energy_Annual_Report_2020.pdf,2020,,,,,0,
93,Croda_International_Annual_Report_2020.pdf,2020,"CEO Pay Ratio The table below sets out the ratio of the CEO’s ‘single figure’ total remuneration to the 25th, 50th and 75th percentile full-time equivalent total remuneration of the Company’s UK employees.",1,37,90,1,
94,Morrisons_Annual_Report_2020.pdf,2020,"Pay ratios The table below sets out the ratio of the Chief Executive’s pay (as outlined on page 65), to the median, 25th and 75th percentile full-time equivalent remuneration of Morrisons UK employees.",1,199,73,1,
95,Royal_Dutch_Shell_Annual_Report_2020.pdf,2020,CEO pay ratio,1,57,173,1,
96,Microsoft_Annual_Report_2020.pdf,2020,,,,,0,
97,Smurfit_Kappa_Annual_Report_2020.pdf,2020,Chief Executive Officer Pay Ratio,1,97,92,1,
98,British_American_Tobacco_Annual_Report_2020.pdf,2020,Chief Executive Pay Ratio Disclosure,1,86,134,1,
99,ITV_Annual_Report_2020.pdf,2020,CEO pay ratio,1,23,147,1,
100,Johnson_Matthey_Annual_Report_2020.pdf,2020,CEO to employee pay ratio,1,29,123,1,
101,Lloyds_Banking_Group_Annual_Report_2020.pdf,2020,Chief Executive Officer pay ratio,1,95,132,1,
102,Shell_Annual_Report_2020.pdf,2020,CEO pay ratio,1,57,173,1,
103,Premier_Foods_Annual_Report_2020.pdf,2020,"CEO pay ratio The table below sets out a comparison of the CEO’s total earnings as compared to the wider workforce based on colleagues' pay at the 25th percentile, median and 75th percentile.",1,42,61,1,
105,AstraZeneca_Annual_Report_2020.pdf,2020,"CEO and employee pay ratios The table below sets out the ratios of the CEO’s realised pay to the equivalent pay for the lower quartile, median and upper quartile UK employees (calculated on a full-time equivalent basis).",1,197,154,1,
106,Spirax-Sarco_Annual_Report_2020.pdf,2020,"Group Chief Executive pay ratio The table below details the ratio of the Group Chief Executive’s single figure of total remuneration to the median, 25th and 75th percentile total remuneration of the Group’s full-time equivalent UK employees.",1,66,137,1,
107,BP_Annual_Report_2020.pdf,2020,Chief executive officer to employee pay ratio,1,188,119,1,
108,CRH_Annual_Report_2020.pdf,2020,Total Remuneration Pay Ratios compared to UK-based employees,1,267,99,1,
109,Biogen_Annual_Report_2020.pdf,2020,,,,,0,
110,Sainsburys_Annual_Report_2020.pdf,2020,Chief Executive pay ratio,1,173,87,1,
111,Rolls-Rocye_Annual_Report_2020.pdf,2020,Chief Executive pay ratio The Committee is mindful of the relationship between the remuneration of the Chief Executive and the wider employee population.,1,99,22,1,
112,Barclays_Annual_Report_2020.pdf,2020,Group CEO pay ratio,1,90,137,1,
113,United_Utilities_Annual_Report_2020.pdf,2020,"CEO pay ratios New legislation requires listed companies with more than 250 employees to publish the ratio of their CEO’s pay to that of the 25th percentile (P25), median (P50) and 75th percentile (P75) total remuneration of full-time equivalent employees.",1,58,174,1,
114,British_Land_Annual_Report_2020.pdf,2020,CEO pay ratio The CEO pay ratios are set out below in line with the new regulations. In calculating this information last year we used the gender pay gap data calculated for each employee; to provide a more accurate calculation we moved to using employees as at 31 March 2020.,1,22,133,1,
115,Amazon_Annual_Report_2020.pdf,2020,,,,,0,text not able to parse
116,DS_Smith_Annual_Report_2020.pdf,2020,Group Chief Executive pay ratio disclosures (audited),1,45,56,1,
117,Rio_Tinto_Annual_Report_2020.pdf,2020,The CEO pay ratio of 81:1 is primarily driven by the LTIP vesting which ties closely to the shareholder experience over the relevant period which saw TSR increase by 210%.,0,81,146,1,
118,Phoenix_Group_Holdings_Annual_Report_2020.pdf,2020,"CEO PAY RATIO In accordance with the DRR regulations we have provided in the table below the ratio of the CEO single total figure of remuneration for 2020 (as detailed on page 130) as a ratio of the equivalent single figure for the lower quartile, median and upper quartile employee (calculated on a full-time equivalent basis).",1,54,146,1,
119,Greggs_Annual_Report_2020.pdf,2020,Chief Executive pay ratio reporting Outlined below is the ratio of the Chief Executive’s single figure of total remuneration for 2020 expressed as a multiple of total remuneration for UK colleagues.,1,30,103,1,
120,Avast_Annual_Report_2020.pdf,2020,"CEO to all employee pay ratio Avast plc has fewer than 250 employees in the UK and, as such, it is not required to disclose the CEO to all employee pay ratio.",1,53,128,1,
121,Alphabet_Annual_Report_2020.pdf,2020,,,,,0,
122,Tesco_Annual_Report_2020.pdf,2020,Group Chief Executive pay compared to pay of UK employees.,1,305,58,1,
123,Severn_Trent_Annual_Report_2020.pdf,2020,"In the first year of disclosing CEO pay ratios we have chosen to publish two years’ worth of information covering 2018/19 and 2019/20. The table below shows how the CEO’s single total figure of remuneration compares with the equivalent figures for UK employees occupying the 25th percentile, median and 75th percentile quartiles.",1,65,58,1,
124,National_Grid_Annual_Report_2020.pdf,2020,"CEO pay ratio We have disclosed our CEO pay ratios comparing the CEO single total figure of remuneration to the equivalent pay for the lower quartile, median and upper quartile UK employees (calculated on a full-time equivalent basis) in accordance with the Companies (Miscellaneous Reporting) Regulations 2018 (as amended), which formally apply to National Grid from this reporting year, 2019/20. We disclosed these ratios on a voluntary basis last year for 2018/19.",1,66,107,1,
125,Mondi_Annual_Report_2020.pdf,2020,"CEO pay ratio The table below sets out the CEO pay ratio based on total remuneration and salary of the Group CEO to the 25th, 50th (median) and 75th percentile of all permanent UK employees of the business",1,34,145,1,
126,JD_Sports_Annual_Report_2020.pdf,2020,"CEO PAY RATIO (UNAUDITED) In line with new reporting requirements, set out below are ratios which compare the total remuneration of the executive chairman (as included in the single figure table on page 149) to the remuneration of the 25th, 50th and 75th percentile of our UK employees.",1,310,81,1,
127,DCC_Annual_Report_2020.pdf,2020,,,,,,
128,Trafigura_Annual_Report_2020.pdf,2020,,,,,,
129,Informa_Annual_Report_2020.pdf,2020,,,,,,
130,Smiths_Groups_Annual_Report_2020.pdf,2020,,,,,,
131,Drax_Annual_Report_2020.pdf,2020,,,,,,
132,Evraz_Annual_Report_2020.pdf,2020,,,,,,
133,.ipynb_checkpoints,2020,,,,,,
134,Unilever_Annual_Report_2020.pdf,2020,,,,,,
135,Land_Securities_Annual_Report_2020.pdf,2020,,,,,,
136,BT_Group_Annual_Report_2020.pdf,2020,,,,,,
137,BAE_Systems_Annual_Report_2020.pdf,2020,,,,,,
138,Rightmove_Annual_Report_2020.pdf,2020,,,,,,
139,Reckitt_Annual_Report_2020.pdf,2020,,,,,,
140,GSK_Annual_Report_2020.pdf,2020,,,,,,
141,Associated_British_Foods_Annual_Report_2020.pdf,2020,,,,,,
142,Intermediate_Capital_Group_Annual_Report_2020.pdf,2020,,,,,,
143,Amcor_Annual_Report_2020.pdf,2020,,,,,,
144,Glencore_Annual_Report_2020.pdf,2020,,,,,,
145,Anglo_American_Annual_Report_2020.pdf,2020,,,,,,
146,Fresnillo_Annual_Report_2020.pdf,2020,,,,,,
147,Greenergy_Annual_Report_2020.pdf,2020,,,,,,
148,Transport_For_London_Annual_Report_2020.pdf,2020,,,,,,
149,B&M_Annual_Report_2020.pdf,2020,,,,,,
150,Royal_Mail_Annual_Report_2020.pdf,2020,,,,,,
151,Auto_Trader_Annual_Report_2020.pdf,2020,,,,,,
152,Prudential_Annual_Report_2020.pdf,2020,,,,,,
153,Aviva_Annual_Report_2020.pdf,2020,,,,,,
154,SSE_Annual_Report_2020.pdf,2020,,,,,,
155,Experian_Annual_Report_2020.pdf,2020,,,,,,
156,Polymetal_Annual_Report_2020.pdf,2020,,,,,,
157,J_Sainsburys_Annual_Report_2020.pdf,2020,,,,,,
158,BHP_Annual_Report_2020.pdf,2020,,,,,,
159,Weir_Group_Annual_Report_2020.pdf,2020,,,,,,
160,Schroeders_Annual_Report_2020.pdf,2020,,,,,,
